Site,sap_no,sap_percentage,canopy_cover,mother_no,mother_simp
1,0,0,95,9,0.67
2,22,0.38,70,7,0.14
3,22,0.88,85,9,0.82
4,0,0,95,11,0.85
5,0,0,60,9,0.75
6,13,0.59,100,13,0.74
7,6,0.05,85,14,0.66
8,0,0,95,14,0.65
9,0,0,70,9,0.92
10,0,0,95,8,0.61
11,6,0.06,75,7,0.71
12,0,0,90,14,0.71
13,11,0.65,80,12,0.55
14,0,0,95,6,0.53
15,2,0.02,40,8,0.86
16,26,0.87,95,6,0.33
17,0,0,70,5,0.4
18,0,0,65,4,0.8
19,0,0,30,6,1
20,14,0.26,80,7,0.75
21,1,0.02,85,8,0.82
22,2,1,100,7,0.81
23,63,0.49,85,9,0.56
24,1,1,95,11,0.44
25,0,0,95,1,0
26,0,0,95,8,0.43
27,64,0.46,100,6,0.73
28,13,0.39,100,8,0.71
29,45,0.47,85,9,0.64
30,3,0.02,90,8,0.68
